Date - MST,Measure Names,Measure Values
9/30/2024 10:00:00 PM,Avg. Spark Spread,-2.23125
9/30/2024 9:00:00 PM,Avg. Spark Spread,-2.23125
9/30/2024 8:00:00 PM,Avg. Spark Spread,2.50875
9/30/2024 7:00:00 PM,Avg. Spark Spread,55.95875
9/30/2024 6:00:00 PM,Avg. Spark Spread,188.54875
9/30/2024 5:00:00 PM,Avg. Spark Spread,20.34875
9/30/2024 4:00:00 PM,Avg. Spark Spread,2.14875
9/30/2024 3:00:00 PM,Avg. Spark Spread,-2.23125
9/30/2024 2:00:00 PM,Avg. Spark Spread,-2.23125
9/30/2024 1:00:00 PM,Avg. Spark Spread,-2.23125
9/30/2024 12:00:00 PM,Avg. Spark Spread,-2.23125
9/30/2024 11:00:00 AM,Avg. Spark Spread,0.19875
9/30/2024 10:00:00 AM,Avg. Spark Spread,5.63875
9/30/2024 9:00:00 AM,Avg. Spark Spread,5.12875
9/30/2024 8:00:00 AM,Avg. Spark Spread,8.68875
9/30/2024 7:00:00 AM,Avg. Spark Spread,7.39875
9/30/2024 6:00:00 AM,Avg. Spark Spread,7.03875
9/30/2024 5:00:00 AM,Avg. Spark Spread,2.33875
9/30/2024 4:00:00 AM,Avg. Spark Spread,-2.18125
9/30/2024 3:00:00 AM,Avg. Spark Spread,-2.23125
9/30/2024 2:00:00 AM,Avg. Spark Spread,-2.23125
9/30/2024 1:00:00 AM,Avg. Spark Spread,-2.23125
9/30/2024 12:00:00 AM,Avg. Spark Spread,-2.23125
9/29/2024 11:00:00 PM,Avg. Spark Spread,-2.23125
9/29/2024 10:00:00 PM,Avg. Spark Spread,-1.5
9/29/2024 9:00:00 PM,Avg. Spark Spread,-1.16
9/29/2024 8:00:00 PM,Avg. Spark Spread,4.64
9/29/2024 7:00:00 PM,Avg. Spark Spread,6.52
9/29/2024 6:00:00 PM,Avg. Spark Spread,7.27
9/29/2024 5:00:00 PM,Avg. Spark Spread,-0.46
9/29/2024 4:00:00 PM,Avg. Spark Spread,-1.18
9/29/2024 3:00:00 PM,Avg. Spark Spread,-1.5
9/29/2024 2:00:00 PM,Avg. Spark Spread,-1.5
9/29/2024 1:00:00 PM,Avg. Spark Spread,-1.5
9/29/2024 12:00:00 PM,Avg. Spark Spread,-1.5
9/29/2024 11:00:00 AM,Avg. Spark Spread,-1.5
9/29/2024 10:00:00 AM,Avg. Spark Spread,-1.5
9/29/2024 9:00:00 AM,Avg. Spark Spread,-0.77
9/29/2024 8:00:00 AM,Avg. Spark Spread,1.83
9/29/2024 7:00:00 AM,Avg. Spark Spread,0.59
9/29/2024 6:00:00 AM,Avg. Spark Spread,-1.35
9/29/2024 5:00:00 AM,Avg. Spark Spread,-0.64
9/29/2024 4:00:00 AM,Avg. Spark Spread,-1.35
9/29/2024 3:00:00 AM,Avg. Spark Spread,-1.5
9/29/2024 2:00:00 AM,Avg. Spark Spread,-1.5
9/29/2024 1:00:00 AM,Avg. Spark Spread,-1.5
9/29/2024 12:00:00 AM,Avg. Spark Spread,-1.5
9/28/2024 11:00:00 PM,Avg. Spark Spread,-1.5
9/28/2024 10:00:00 PM,Avg. Spark Spread,4.3575
9/28/2024 9:00:00 PM,Avg. Spark Spread,12.4175
9/28/2024 8:00:00 PM,Avg. Spark Spread,13.3675
9/28/2024 7:00:00 PM,Avg. Spark Spread,21.8475
9/28/2024 6:00:00 PM,Avg. Spark Spread,46.0575
9/28/2024 5:00:00 PM,Avg. Spark Spread,31.5875
9/28/2024 4:00:00 PM,Avg. Spark Spread,18.5675
9/28/2024 3:00:00 PM,Avg. Spark Spread,8.9475
9/28/2024 2:00:00 PM,Avg. Spark Spread,9.7975
9/28/2024 1:00:00 PM,Avg. Spark Spread,9.7175
9/28/2024 12:00:00 PM,Avg. Spark Spread,11.1075
9/28/2024 11:00:00 AM,Avg. Spark Spread,10.6275
9/28/2024 10:00:00 AM,Avg. Spark Spread,11.4475
9/28/2024 9:00:00 AM,Avg. Spark Spread,8.3675
