Date (MST),AIL,Gas Price,Price,Spark Spread
9/27/2024 1:00:00 AM,8837,0,0,0
9/27/2024 2:00:00 AM,8838,0,0,0
9/27/2024 3:00:00 AM,8872,0,0,0
9/27/2024 12:00:00 AM,8913,0,0,0
9/27/2024 4:00:00 AM,9010,0,0,0
9/26/2024 11:00:00 PM,9024,0,0,0
9/27/2024 10:00:00 PM,9217,0,16.55,16.55
9/27/2024 5:00:00 AM,9424,0,0,0
10/18/2024 2:00:00 AM,9139,0.01,25.77,25.695
10/18/2024 1:00:00 AM,9172,0.01,27.76,27.685
10/18/2024 3:00:00 AM,9176,0.01,25.54,25.465
10/18/2024 12:00:00 AM,9238,0.01,33.2,33.125
10/17/2024 11:00:00 PM,9353,0.01,32.17,32.095
10/18/2024 4:00:00 AM,9371,0.01,22.9,22.825
10/18/2024 10:00:00 PM,9752,0.01,0,-0.075
10/18/2024 5:00:00 AM,9785,0.01,26.14,26.065
7/6/2024 4:00:00 AM,8728,0.105,7.48,6.6925
7/6/2024 5:00:00 AM,8796,0.105,9.48,8.6925
7/6/2024 3:00:00 AM,8822,0.105,10.92,10.1325
7/6/2024 2:00:00 AM,8854,0.105,14.31,13.5225
7/6/2024 1:00:00 AM,9051,0.105,20,19.2125
7/6/2024 12:00:00 AM,9206,0.105,22.45,21.6625
7/5/2024 11:00:00 PM,9442,0.105,26.56,25.7725
7/6/2024 10:00:00 PM,9545,0.105,192.61,191.8225
9/20/2024 1:00:00 AM,8522,0.14,13.29,12.24
9/20/2024 2:00:00 AM,8542,0.14,8.86,7.81
9/20/2024 3:00:00 AM,8603,0.14,9.36,8.31
9/20/2024 12:00:00 AM,8653,0.14,10.03,8.98
9/20/2024 4:00:00 AM,8680,0.14,13.51,12.46
9/19/2024 11:00:00 PM,8731,0.14,8.88,7.83
9/20/2024 5:00:00 AM,9026,0.14,57.68,56.63
9/20/2024 10:00:00 PM,9063,0.14,12.28,11.23
9/28/2024 2:00:00 AM,8766,0.175,13.58,12.2675
9/28/2024 3:00:00 AM,8774,0.175,16.53,15.2175
9/28/2024 1:00:00 AM,8802,0.175,14.78,13.4675
9/28/2024 4:00:00 AM,8846,0.175,15.24,13.9275
9/28/2024 12:00:00 AM,8879,0.175,56.98,55.6675
9/28/2024 5:00:00 AM,8995,0.175,14.28,12.9675
9/27/2024 11:00:00 PM,9004,0.175,123.31,121.9975
9/28/2024 10:00:00 PM,9069,0.175,5.67,4.3575
9/26/2024 2:00:00 AM,8819,0.185,0,-1.3875
