"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 00:00","2024","01","01","00:00","","2.7","","-5.7","","54","","0.0","","25","","34","","","","87.99","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 01:00","2024","01","01","01:00","","2.1","","-6.0","","55","","0.0","","25","","32","","","","88.01","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 02:00","2024","01","01","02:00","","1.9","","-5.4","","58","","0.0","","25","","37","","","","88.09","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 03:00","2024","01","01","03:00","","2.2","","-5.0","","59","","0.0","","24","","30","","","","88.14","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 04:00","2024","01","01","04:00","","1.9","","-4.5","","62","","0.0","","25","","22","","","","88.20","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 05:00","2024","01","01","05:00","","1.6","","-4.9","","62","","0.0","","26","","24","","","","88.22","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 06:00","2024","01","01","06:00","","1.2","","-4.5","","66","","0.0","","25","","22","","","","88.27","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 07:00","2024","01","01","07:00","","1.0","","-4.8","","65","","0.0","","26","","23","","","","88.34","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 08:00","2024","01","01","08:00","","-0.1","","-4.9","","70","","0.0","","26","","22","","","","88.38","","","","-6","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 09:00","2024","01","01","09:00","","-0.4","","-5.1","","70","","0.0","","26","","20","","","","88.41","","","","-6","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 10:00","2024","01","01","10:00","","1.8","","-5.1","","60","","0.0","","26","","34","","","","88.46","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 11:00","2024","01","01","11:00","","2.9","","-5.5","","54","","0.0","","25","","39","","","","88.47","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 12:00","2024","01","01","12:00","","3.6","","-5.6","","51","","0.0","","26","","39","","","","88.43","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 13:00","2024","01","01","13:00","","3.8","","-5.9","","49","","0.0","","24","","36","","","","88.43","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 14:00","2024","01","01","14:00","","3.6","","-6.3","","48","","0.0","","25","","35","","","","88.40","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 15:00","2024","01","01","15:00","","3.2","","-6.0","","51","","0.0","","24","","34","","","","88.38","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 16:00","2024","01","01","16:00","","2.5","","-5.9","","54","","0.0","","24","","39","","","","88.41","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 17:00","2024","01","01","17:00","","0.7","","-5.7","","62","","0.0","","24","","34","","","","88.41","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 18:00","2024","01","01","18:00","","0.3","","-5.4","","65","","0.0","","26","","32","","","","88.37","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 19:00","2024","01","01","19:00","","0.0","","-5.7","","65","","0.0","","27","","29","","","","88.41","","","","-6","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 20:00","2024","01","01","20:00","","-0.5","","-6.4","","65","","0.0","","25","","19","","","","88.45","","","","-6","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 21:00","2024","01","01","21:00","","-1.1","","-6.1","","69","","0.0","","26","","21","","","","88.40","","","","-7","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 22:00","2024","01","01","22:00","","-1.3","","-6.3","","69","","0.0","","26","","23","","","","88.36","","","","-7","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-01 23:00","2024","01","01","23:00","","-1.1","","-6.6","","66","","0.0","","28","","25","","","","88.35","","","","-7","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 00:00","2024","01","02","00:00","","-0.8","","-6.8","","64","","0.0","","26","","37","","","","88.22","","","","-8","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 01:00","2024","01","02","01:00","","-0.5","","-7.2","","61","","0.0","","26","","40","","","","88.23","","","","-8","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 02:00","2024","01","02","02:00","","-0.4","","-7.5","","58","","0.0","","26","","38","","","","88.22","","","","-8","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 03:00","2024","01","02","03:00","","-0.2","","-7.7","","57","","0.0","","28","","30","","","","88.27","","","","-7","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 04:00","2024","01","02","04:00","","0.1","","-7.7","","56","","0.0","","26","","40","","","","88.23","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 05:00","2024","01","02","05:00","","0.3","","-7.9","","54","","0.0","","28","","38","","","","88.24","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 06:00","2024","01","02","06:00","","0.4","","-7.8","","54","","0.0","","27","","43","","","","88.23","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 07:00","2024","01","02","07:00","","0.3","","-7.9","","54","","0.0","","26","","39","","","","88.24","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 08:00","2024","01","02","08:00","","0.3","","-7.7","","55","","0.0","","25","","22","","","","88.31","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 09:00","2024","01","02","09:00","","0.6","","-7.5","","55","","0.0","","28","","23","","","","88.28","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 10:00","2024","01","02","10:00","","0.9","","-7.6","","53","","0.0","","28","","25","","","","88.28","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 11:00","2024","01","02","11:00","","2.2","","-6.7","","52","","0.0","","27","","24","","","","88.27","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 12:00","2024","01","02","12:00","","3.1","","-6.4","","49","","0.0","","25","","34","","","","88.21","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 13:00","2024","01","02","13:00","","3.9","","-5.8","","49","","0.0","","25","","32","","","","88.14","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 14:00","2024","01","02","14:00","","4.6","","-5.8","","47","","0.0","","26","","31","","","","88.09","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 15:00","2024","01","02","15:00","","4.1","","-6.0","","48","","0.0","","28","","23","","","","88.08","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 16:00","2024","01","02","16:00","","2.5","","-6.0","","53","","0.0","","27","","15","","","","88.10","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 17:00","2024","01","02","17:00","","1.9","","-5.3","","59","","0.0","","28","","14","","","","88.10","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 18:00","2024","01","02","18:00","","1.4","","-5.0","","63","","0.0","","26","","12","","","","88.12","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 19:00","2024","01","02","19:00","","1.2","","-4.9","","64","","0.0","","26","","14","","","","88.12","","","","","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 20:00","2024","01","02","20:00","","-2.4","","-6.3","","75","","0.0","","12","","16","","","","88.13","","","","-8","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 21:00","2024","01","02","21:00","","-2.9","","-6.6","","75","","0.0","","11","","15","","","","88.09","","","","-8","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 22:00","2024","01","02","22:00","","-5.4","","-8.3","","80","","0.0","","12","","8","","","","88.09","","","","-9","","NA"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2024-01-02 23:00","2024","01","02","23:00","","-5.1","","-7.0","","86","","0.0","","","","0","","","","88.11","","","","","","NA"
